,item,phrase,frequency
0,card,black,211
1,wallet,black,191
2,bag,black,141
3,key,black,97
4,wallet,brown,95
5,ring,gold,93
6,card,small,92
7,case,black,84
8,card,brown,83
9,wallet,leather,75
10,card,leather,73
11,black_wallet,black,67
12,license,black,65
13,card,blue,59
14,bank_card,black,59
15,wallet,small,56
16,purse,black,53
17,backpack,black,51
18,iphone,black,46
19,phone,black,46
20,ring,silver,44
21,purse,small,41
22,bag,small,41
23,card,red,40
24,bag,leather,39
25,wallet,blue,39
26,card,pink,39
27,passport,black,38
28,bag,white,38
29,key,blue,37
30,driving_license,black,37
31,key,small,36
32,card,green,36
33,document,black,36
34,bag,blue,35
35,bracelet,gold,35
36,laptop,black,35
37,key,green,35
38,credit_card,black,34
39,chain,gold,34
40,licence,black,34
41,car,black,33
42,ring,small,33
43,diamond,gold,33
44,ring,black,32
45,case,blue,31
46,pocket,black,31
47,bracelet,silver,31
48,holder,black,30
49,license,brown,30
50,cash,black,29
51,picture,black,29
52,wallet,black_leather,29
53,bank_card,brown,29
54,wallet,green,29
55,wallet,red,29
56,bank_card,small,28
57,key,red,28
58,card,white,28
59,samsung,black,28
60,debit_card,black,28
61,money,black,28
62,wallet,brown_leather,28
63,bag,brown,27
64,card,gold,27
65,card,dark,27
66,photo,black,26
67,purse,leather,26
68,key,silver,26
69,card,black_leather,26
70,id_card,black,26
71,card,grey,25
72,bank_card,leather,25
73,card,small_black,25
74,bag,green,25
75,wallet,pink,24
76,bag,grey,24
77,wallet,white,24
78,phone,white,23
79,card_holder,black,23
80,card,square,23
81,car_key,black,22
82,necklace,gold,22
83,case,glass,22
84,case,white,22
85,driving_licence,black,22
86,bag,red,21
87,earring,gold,21
88,jacket,black,21
89,phone,blue,20
90,sunglass,black,20
91,iphone,white,20
92,bag,gold,19
93,card,brown_leather,19
94,card,light,19
95,driving_license,brown,19
96,ring,white,19
97,iphone,gold,18
98,purse,brown,18
99,case,pink,18
